"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0719501","02","05","02","1","2","1","1","05","1","","07195","01","27","4","6","155","01819",1628
"0719602","02","03","01","2","","1","1","03","1","","07196","02","13","4","5","071","00938",2501
"0719703","03","08","02","1","1","1","1","03","1","","07197","03","05","1","2","030","00338",1543
"0719809","02","03","01","1","1","2","","02","1","","07198","09","28","4","2","160","01847",1348
"0719908","01","03","01","2","","2","","02","1","","07199","08","13","4","5","071","00938",2501
"0720005","03","05","02","1","1","1","1","03","1","","07200","05","23","1","6","131","01527",1108
"0720102","02","04","02","2","","1","1","05","1","","07201","02","03","1","1","017","00195",620
"0720214","03","06","01","1","1","1","1","03","1","","07202","14","05","4","2","028","00277",1380
"0720316","02","03","00","2","","2","","04","1","","07203","16","24","4","2","136","01589",1281
"0720416","03","05","01","2","","1","1","05","1","","07204","16","27","4","6","155","01819",1628
"0720502","03","06","02","1","1","1","1","04","1","","07205","02","09","1","4","049","00616",4160
"0720602","01","03","02","1","1","1","1","01","1","","07206","02","21","1","5","121","01446",3141
"0720702","01","02","01","2","","2","","03","1","","07207","02","18","1","3","103","01230",1147
"0720801","01","02","01","1","1","1","1","02","1","","07208","01","02","1","1","009","00077",3152
"0720909","03","04","00","2","","2","","04","1","","07209","09","24","4","2","136","01591",1218
"0721016","02","03","01","2","","2","","01","1","","07210","16","28","4","2","160","01846",1388
"0721102","03","09","03","1","4","1","1","04","1","","07211","02","03","1","1","018","00213",702
"0721220","01","03","01","2","","1","1","01","1","","07212","20","21","2","5","116","01409",5069
"0721304","01","06","01","2","","1","1","01","1","","07213","04","09","1","4","049","00649",3262
"0721418","04","05","01","1","1","1","1","07","1","","07214","18","10","4","1","052","00772",1285
"0721516","01","01","00","2","","2","","04","1","","07215","16","04","4","6","021","00226",887
"0721605","02","04","01","1","1","2","","02","1","","07216","05","29","2","5","168","01978",1324
"0721719","03","05","01","1","1","1","1","04","1","","07217","19","01","2","3","001","00003",848
"0721804","02","05","01","2","","1","1","02","1","","07218","04","18","1","3","103","01239",952
"0721911","03","04","00","2","","2","","01","1","","07219","11","17","2","5","094","01150",835
"0722004","01","04","02","2","","1","1","01","1","","07220","04","09","1","4","049","00625",3906
"0722107","02","03","01","1","1","2","","05","1","","07221","07","16","4","3","090","01114",10379
"0722201","01","04","01","2","","1","1","02","1","","07222","01","25","1","1","144","01687",3018
"0722303","02","05","01","1","1","1","1","04","1","","07223","03","24","1","2","140","01661",1368
"0722403","03","07","02","1","1","1","1","03","1","","07224","03","09","1","4","050","00687",3768
"0722502","02","06","03","1","2","1","1","02","1","","07225","02","04","1","6","025","00268",805
"0722602","02","04","01","2","","1","1","03","1","","07226","02","10","1","1","054","00800",1335
"0722705","01","02","01","2","","1","1","01","1","","07227","05","03","1","1","015","00159",480
"0722805","01","03","01","2","","2","","01","1","","07228","05","23","1","6","132","01557",1153
"0722908","02","03","02","2","","1","1","04","1","","07229","08","07","4","6","039","00455",3338
"0723004","02","03","01","2","","2","","01","1","","07230","04","17","1","5","098","01200",820
"0723106","01","03","01","2","","2","","01","1","","07231","06","27","3","6","153","01809",2602
"0723209","01","03","00","2","","2","","03","1","","07232","09","30","4","5","173","02042",4624
"0723302","03","05","02","1","1","1","1","05","1","","07233","02","24","4","2","137","01598",1015
"0723411","02","04","01","1","1","1","1","02","1","","07234","11","28","4","2","160","01847",1348
"0723501","03","05","01","2","","1","1","02","1","","07235","01","24","1","2","140","01665",1261
"0723607","02","04","01","1","2","1","1","02","1","","07236","07","20","3","6","109","01373",2841
"0723716","02","04","00","1","1","1","1","07","1","","07237","16","21","4","5","117","01412",4714
"0723816","02","03","01","1","1","1","1","04","1","","07238","16","28","3","2","159","01842",2431
"0723902","01","03","00","2","","1","1","07","1","","07239","02","17","3","5","094","01142",4197
"0724013","02","08","01","2","","2","","04","1","","07240","13","16","4","3","089","01113",3018
"0724105","03","04","03","2","","1","1","05","1","","07241","05","19","1","2","108","01335",3667
"0724201","03","07","01","2","","1","1","06","2","02","07242","01","13","1","5","073","00948",2562
"0724321","02","04","01","1","1","1","1","05","1","","07243","21","13","4","5","071","00935",2985
"0724420","01","02","01","2","","1","1","02","1","","07244","20","28","3","2","159","01842",2431
"0724501","03","05","03","1","1","1","1","02","1","","07245","01","20","1","6","114","01401",3180
"0724619","04","05","01","1","1","1","1","04","1","","07246","19","02","4","1","008","00062",1927
"0724704","03","06","02","1","1","1","1","03","1","","07247","04","19","1","2","108","01354",3243
"0724819","03","04","03","1","2","1","1","04","1","","07248","19","16","2","3","088","01106",5935
"0724909","02","06","01","2","","1","1","02","1","","07249","09","21","2","5","116","01409",5069
"0725005","01","03","02","2","","1","1","04","1","","07250","05","24","1","2","139","01632",1299
"0725105","02","05","01","1","1","1","1","04","1","","07251","05","08","1","1","046","00546",3168
"0725211","03","03","01","2","","2","","08","1","","07252","11","31","2","6","178","02085",2014
"0725301","02","04","02","1","1","1","1","03","1","","07253","01","06","1","3","034","00410",730
"0725410","01","04","02","2","","2","","01","1","","07254","10","16","2","3","088","01110",4468
